team_name,region
ENVY,North America
GROUND ZERO GAMING,Oceania
TOKYO VERDY ESPORTS,Asia-Pacific
ERA,South America
COMPLEXITY GAMING,North America
RENEGADES,Oceania
SANDROCK GAMING,MENA
FAZE CLAN,North America
DETONATOR,Asia-Pacific
TEAM QUESO,Europe
VERSION1,North America
EVIL GENIUSES,Europe
OPTIC GAMING,North America
GAIMIN GLADIATORS,Europe
TEAM LIQUID,Europe
BRAVADO GAMING,MENA
SENBEI STRIKERS,Asia-Pacific
THE CLUB,South America
QUADRANT,Europe
JAMES CHEESE,Asia-Pacific
G1,Europe
RULE ONE,MENA
ELEVATE,Asia-Pacific
OG,North America
VALIANT,Europe
LIMITLESS,Sub-Saharan Africa
OXYGEN,Europe
LUMINOSITY GAMING,Asia-Pacific
TEAM MÓBULA,Sub-Saharan Africa
HELFIE CHIEFS,Oceania
THE ULTIMATES,North America
MAN CITY ESPORTS,Europe
100%,Europe
SMPR ESPORTS,MENA
TEAM VITALITY,Europe
GEN.G MOBIL1 RACING,North America
TEAM SECRET,South America
01 ESPORTS,MENA
VELOCE ESPORTS,MENA
PIRATES,Europe
TEAM BDS,Europe
MOIST ESPORTS,North America
KRU ESPORTS,South America
G2 ESPORTS,North America
ROC ESPORTS,MENA